"","educ","yob","qob","pob","wklywge"
"1",19,37,2,17,738.214180518307
"2",12,34,2,1,187.708269569857
"3",20,34,1,36,1040.09985297242
"4",8,35,2,42,260.099955144561
"5",9,30,3,55,346.249980090089
"6",10,32,4,47,2.01923070547135
"7",6,33,1,12,372.788412507983
"8",12,34,1,48,269.326931395683
"9",12,31,3,48,323.36541514336
"10",12,37,3,53,365.288334768667
"11",11,32,1,51,264.327007128162
"12",16,34,3,17,230.865433080054
"13",12,36,1,42,470.099794082102
"14",12,34,2,1,321.607224083908
"15",10,31,2,54,366.833475555229
"16",12,33,2,36,557.788579054051
"17",12,32,4,12,595.356865676999
"18",12,34,3,17,519.327133692303
"19",20,39,2,55,240.480739235535
"20",20,39,2,22,408.265215005519
"21",12,37,4,24,230.865433080054
"22",12,39,4,25,269.326931395683
"23",14,33,1,19,307.788543464825
"24",16,38,2,25,314.519161137494
"25",9,38,3,26,365.480892455584
"26",12,31,2,40,133.499936208335
"27",12,33,1,55,403.94228142715
"28",9,31,3,42,666.770560845344
"29",16,32,1,5,788.558030686479
"30",15,37,3,36,500.095959996047
"31",17,34,2,36,1442.30816259091
"32",13,32,3,42,384.711614361321
"33",19,32,3,20,384.711614361321
"34",12,30,3,17,230.865433080054
"35",16,39,4,34,1057.78883113816
"36",14,33,3,41,403.94228142715
"37",17,33,3,42,458.375171252833
"38",12,33,2,47,577.019464553128
"39",16,34,1,48,577.889110545812
"40",7,35,2,47,17.4038422359189
"41",7,33,3,29,442.403782444095
"42",13,31,3,36,442.403782444095
"43",12,39,2,51,773.173133827982
"44",16,36,3,55,1080.86508055235
"45",16,30,3,36,1442.30816259091
"46",14,31,1,34,403.94228142715
"47",7,33,3,39,230.874898756855
"48",18,32,1,36,596.249974836729
"49",12,30,4,6,384.711614361321
"50",9,37,2,8,230.865433080054
"51",15,31,3,36,577.019464553128
"52",12,32,3,48,288.557680969383
"53",10,36,3,24,307.788543464825
"54",17,39,1,18,384.711614361321
"55",14,39,2,27,480.86520896896
"56",12,32,3,53,548.173038066238
"57",12,30,2,31,495.28829144739
"58",14,39,1,36,461.634752774662
"59",17,39,2,36,346.249980090089
"60",12,39,4,36,313.557576403624
"61",12,31,1,31,355.865553210626
"62",18,34,2,56,619.711470772954
"63",8,32,3,12,134.711573460991
"64",16,39,2,21,535.288578211992
"65",10,31,4,37,461.634752774662
"66",10,37,4,17,346.249980090089
"67",10,35,2,21,115.288421316608
"68",12,39,2,39,282.019156646091
"69",10,35,3,36,250.096038976685
"70",12,38,3,21,346.249980090089
"71",12,37,2,26,692.403584354935
"72",16,33,3,27,577.019464553128
"73",12,37,4,17,464.326978923283
"74",12,35,4,47,211.634557104866
"75",16,38,2,37,407.596208787955
"76",12,39,1,1,308.750034597852
"77",12,34,3,40,519.327133692303
"78",12,32,3,37,673.172761319504
"79",12,38,3,42,384.711614361321
"80",16,31,3,39,1442.30816259091
"81",10,38,1,39,327.01923768246
"82",12,32,4,37,164.404688323779
"83",20,31,3,49,442.403782444095
"84",8,36,1,26,384.711614361321
"85",12,39,1,6,403.94228142715
"86",19,37,4,18,555.095960165587
"87",12,35,1,29,183.172988741111
"88",12,37,1,54,597.934968673793
"89",19,34,3,18,399.886197348683
"90",11,32,3,48,253.942280736383
"91",15,32,2,4,475.096052793962
"92",12,37,4,42,365.480892455584
"93",13,38,4,45,260.096053674495
"94",12,37,4,37,400.199831055753
"95",16,30,1,22,507.788488674877
"96",16,35,1,39,423.172966617204
"97",18,35,4,42,823.172682956522
"98",12,30,3,1,240.480739235535
"99",14,39,2,27,403.94228142715
"100",17,38,2,25,703.749873709329
"101",17,39,1,31,769.326917920281
"102",12,39,4,17,538.557893694644
"103",13,38,3,48,196.874998113958
"104",14,33,3,26,384.711614361321
"105",12,35,2,18,30.8653748315936
"106",14,37,3,48,230.865433080054
"107",12,36,2,42,403.94228142715
"108",7,33,1,51,439.519023235148
"109",12,38,2,39,240.480739235535
"110",12,35,2,25,288.557680969383
"111",13,38,4,42,284.711674566708
"112",12,32,4,42,249.519233400995
"113",12,36,2,55,60.1000095233769
"114",12,33,4,42,460.29979248613
"115",12,38,3,39,499.519182123053
"116",10,39,3,42,432.788432478619
"117",12,31,2,34,569.327021920939
"118",16,31,4,39,1442.30816259091
"119",4,33,1,47,177.187412483205
"120",12,31,3,1,597.981011439005
"121",12,34,4,37,173.173156750926
"122",14,31,1,45,500.095959996047
"123",12,31,4,48,769.326917920281
